Name,Acceptance Criteria,Assignee,Blocked By,Children,GitHub Issue,GitHub PR,Level,Objective,Parent,Phase,Priority,Related Tasks,Source,Status,Subtype,Type
QA / Release,,,,,,,Epic,핵심 루프가 주요 브라우저와 외부 배포 환경에서 안정적으로 동작하게 한다.,,,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Integration Test,QA
Relic System,,,,,,,Epic,제안 단계의 유물을 MVP에 필요한 최소 범위로 정의하고 런 규칙 변형 구조를 구현한다.,,,P2,,https://app.notion.com/p/3c612168d5218107b90ccf7efca1ea28,Backlog,Relic,Gameplay
UI / UX,,,,,,,Epic,"입력 결과, 적 공격 예고, HP/AP, 후딜을 즉시 읽을 수 있는 인터페이스를 완성한다.",,,P0,,https://app.notion.com/p/3c612168d52181e2a63be89e64e6ed09,Ready,Combat UI,Frontend / UI
Core Combat,,,,,,,Epic,타자 입력과 적 공격 예고가 실제 피해·방어·승패로 이어지는 전투 핵심 시스템을 완성한다.,,,P0,,https://app.notion.com/p/3c612168d52181679b5cede8cc1d5187,Ready,Combat,Gameplay
Hackathon Submission,,,,,,,Epic,2026-08-26 Track 1 예선 필수 제출물과 외부 플레이 링크를 완성하고 검증한다.,,,P0,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Submission Form,Submission
Art / Audio,,,,,,,Epic,핵심 플레이 판독성을 보장하는 최소 스프라이트·모션·VFX·SFX를 제공한다.,,,P2,,https://app.notion.com/p/3c712168d52180c68591eaddfdedfd40,Backlog,UI,Assets
Tower Run,,,,,,,Epic,전투·보상·다음 노드·런 종료와 정산이 연결되는 PvE 탑 핵심 루프를 완성한다.,,,P0,,https://app.notion.com/p/3c612168d5218199a030d9acdd6e99a1,Ready,Run,Gameplay
Enemy & Boss,,,,,,,Epic,판독→대응→학습→검증 구조가 드러나는 최소 적·엘리트·보스 콘텐츠를 완성한다.,,,P1,,https://app.notion.com/p/3c612168d52181e38344ed849057ad31,Ready,Enemy,Gameplay
Equipment System,,,,,,,Epic,장비 획득·장착·스킬 제공·교체가 빌드 선택으로 연결되게 한다.,,,P1,,https://app.notion.com/p/3c612168d52181f2bbe8ca75ff69fd38,Ready,Equipment,Gameplay
Typing & Skills,,,,,,,Epic,정확한 커맨드 입력이 AP 소비와 스킬 생명주기를 거쳐 즉시 피드백되는 입력 경험을 완성한다.,,,P0,,https://app.notion.com/p/3c612168d5218125a530d0f6d87b1a21,Ready,Typing,Gameplay
Codex 활용·신규 개발 로그,,,,,,,Feature,,Hackathon Submission (https://app.notion.com/p/Hackathon-Submission-3c712168d5218190be80c6b1415406cc?pvs=21),,P1,,https://app.notion.com/p/3c712168d52181c89c82f835c7ce8a6b,Ready,Documentation,Documentation
런 종료·정산,,,,,,,Feature,,"Tower Run (https://app.notion.com/p/Tower-Run-3c712168d521819e9695c8c9d02174b8?pvs=21), CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21)",,P0,,https://app.notion.com/p/3c612168d5218179935bf3d31bebe6ad,Ready,Economy,Gameplay
