Name,Phase,Priority,Type,Subtype,Assignee,Parent,Blocked By
스킬 타격 효과 적용 구현,Phase 1 — Frontend Core,P0,Gameplay,Skill,,플레이어 스킬 실행 (https://app.notion.com/p/3c712168d5218135a4c7f0faffdc68bd?pvs=21),"스킬 생명주기 타이머 구현 (https://app.notion.com/p/3c712168d52181c1a6b0d9bfe6c1dcad?pvs=21), 피해 계산 공식 구현 (https://app.notion.com/p/3c712168d52181d68570da05088a81fc?pvs=21)"
CORE-05-01 · 전투 종료→맵·정산 분기 구현,,P0,Gameplay,Run,,"런 상태·전환 (https://app.notion.com/p/3c712168d52181c389cecf938a9909bc?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)","전투 승리 판정 구현 (https://app.notion.com/p/3c712168d5218171ab1dd81f6696c215?pvs=21), RunState 데이터 모델 구현 (https://app.notion.com/p/RunState-3c712168d5218188ba86d1b16e591b86?pvs=21)"
CORE-04-01 · 지도 노드 선택·잠금 로직 구현,,P1,Gameplay,Run,,탑 지도·노드 선택 (https://app.notion.com/p/3c712168d5218165a801f725a7f2e217?pvs=21),
장비 교체 전후 스킬 diff 계산,Phase 1 — Frontend Core,P1,Gameplay,Equipment,,"장비 슬롯·교체 (https://app.notion.com/p/3c712168d52181a78ad9fc8bc6f73b7d?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21), CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21)",
방어 유효 구간 판정 구현,,P1,Gameplay,Skill,,방어 대응 입력 (https://app.notion.com/p/3c712168d52181748fcefcebcea7939e?pvs=21),
CombatState 데이터 모델 구현,Phase 1 — Frontend Core,P0,Gameplay,Combat,지원 정,전투 상태·타이밍 엔진 (https://app.notion.com/p/3c712168d521812aa27bfd336331b660?pvs=21),
MVP 엘리트 1종 선정·명세,,P1,Game Design,Encounter,,최소 적·엘리트·보스 콘텐츠 (https://app.notion.com/p/3c712168d521813a8e14fac240b378e4?pvs=21),
MVP 보스 1종 선정·명세,,P1,Game Design,Boss,,최소 적·엘리트·보스 콘텐츠 (https://app.notion.com/p/3c712168d521813a8e14fac240b378e4?pvs=21),
유물 효과 인터페이스 구현,,P2,Gameplay,Relic,,"유물 최소 규칙 구조 (https://app.notion.com/p/3c712168d521819d9e60d943ec12fb13?pvs=21), LATER-04 · 유물·보상·콤보 확장 (https://app.notion.com/p/LATER-04-3c812168d5218152a139f4f11879c978?pvs=21)",
10층 3분기 지도 데이터 구조 구현,,P1,Gameplay,Run,김예찬,탑 지도·노드 선택 (https://app.notion.com/p/3c712168d5218165a801f725a7f2e217?pvs=21),
