relic_id,rarity,name_ko,file_96,file_192
relic_steel_fragment,common,강철 조각,96/relic_steel_fragment.png,192/relic_steel_fragment.png
relic_red_ink,common,붉은 잉크병,96/relic_red_ink.png,192/relic_red_ink.png
relic_dried_herb,common,말린 약초,96/relic_dried_herb.png,192/relic_dried_herb.png
relic_echo_hourglass,uncommon,잔향의 모래시계,96/relic_echo_hourglass.png,192/relic_echo_hourglass.png
relic_broken_metronome,uncommon,부서진 메트로놈,96/relic_broken_metronome.png,192/relic_broken_metronome.png
relic_fearful_contract,uncommon,겁먹은 계약서,96/relic_fearful_contract.png,192/relic_fearful_contract.png
relic_perfect_period,rare,완벽한 마침표,96/relic_perfect_period.png,192/relic_perfect_period.png
relic_combo_type,rare,연속의 활자,96/relic_combo_type.png,192/relic_combo_type.png
relic_blank_space,rare,빈 여백,96/relic_blank_space.png,192/relic_blank_space.png
relic_reversing_clock,epic,역행하는 시계,96/relic_reversing_clock.png,192/relic_reversing_clock.png
relic_editor_seal,epic,교정자의 인장,96/relic_editor_seal.png,192/relic_editor_seal.png
relic_thousand_beats,legendary,천 개의 박자,96/relic_thousand_beats.png,192/relic_thousand_beats.png
relic_scabbard,legendary,검집,96/relic_scabbard.png,192/relic_scabbard.png
relic_incense_of_meditation,rare,명상의 향로,96/relic_incense_of_meditation.png,192/relic_incense_of_meditation.png
relic_time_wristband,uncommon,시간의 손목끈,96/relic_time_wristband.png,192/relic_time_wristband.png
relic_whetstone,common,숫돌,96/relic_whetstone.png,192/relic_whetstone.png
relic_typo_correction_charm,rare,오타 교정 부적,96/relic_typo_correction_charm.png,192/relic_typo_correction_charm.png
relic_book_of_wisdom,rare,지혜의 서,96/relic_book_of_wisdom.png,192/relic_book_of_wisdom.png
relic_counter_inscription,rare,역습의 문장,96/relic_counter_inscription.png,192/relic_counter_inscription.png
relic_wavering_thorn_shield,uncommon,흔들리는 가시 방패,96/relic_wavering_thorn_shield.png,192/relic_wavering_thorn_shield.png
relic_ticklish_gloves,rare,간지럼 장갑,96/relic_ticklish_gloves.png,192/relic_ticklish_gloves.png
relic_delayed_blade,uncommon,지연의 검날,96/relic_delayed_blade.png,192/relic_delayed_blade.png
relic_berserker_gloves,legendary,광전사의 장갑,96/relic_berserker_gloves.png,192/relic_berserker_gloves.png
relic_ogre_blood,legendary,오거의 피,96/relic_ogre_blood.png,192/relic_ogre_blood.png
relic_hungry_grip,rare,굶주린 손잡이,96/relic_hungry_grip.png,192/relic_hungry_grip.png
relic_crescent_sword,uncommon,초승달 검,96/relic_crescent_sword.png,192/relic_crescent_sword.png
relic_heavy_greatsword,rare,둔중한 대검,96/relic_heavy_greatsword.png,192/relic_heavy_greatsword.png
relic_practice_wooden_sword,common,연습용 목검,96/relic_practice_wooden_sword.png,192/relic_practice_wooden_sword.png
relic_bloody_dagger,uncommon,피 묻은 단검,96/relic_bloody_dagger.png,192/relic_bloody_dagger.png
relic_shield_breaker,rare,방패 부수개,96/relic_shield_breaker.png,192/relic_shield_breaker.png
relic_wind_slash,uncommon,바람 베기,96/relic_wind_slash.png,192/relic_wind_slash.png
relic_veteran_shield,rare,노병의 방패,96/relic_veteran_shield.png,192/relic_veteran_shield.png
relic_mirror_shield,rare,거울 방패,96/relic_mirror_shield.png,192/relic_mirror_shield.png
relic_old_shield,common,낡은 방패,96/relic_old_shield.png,192/relic_old_shield.png
relic_rampart_shield,legendary,성벽의 방패,96/relic_rampart_shield.png,192/relic_rampart_shield.png
relic_fire_scroll,uncommon,화염 주문서,96/relic_fire_scroll.png,192/relic_fire_scroll.png
relic_frost_scroll,rare,서리 주문서,96/relic_frost_scroll.png,192/relic_frost_scroll.png
relic_lightning_scroll,rare,번개 주문서,96/relic_lightning_scroll.png,192/relic_lightning_scroll.png
relic_silence_scroll,uncommon,침묵의 주문서,96/relic_silence_scroll.png,192/relic_silence_scroll.png
relic_stenographer_quill,uncommon,속기사의 깃펜,96/relic_stenographer_quill.png,192/relic_stenographer_quill.png
relic_broken_keyboard,common,고장 난 키보드,96/relic_broken_keyboard.png,192/relic_broken_keyboard.png
relic_delete_key,legendary,삭제 키,96/relic_delete_key.png,192/relic_delete_key.png
